,0,Overweight,Hypertension,High_Cholesterol
0,AL,0.628032345013477,0.5849056603773585,0.11859838274932614
1,AK,0.6,0.4727272727272727,0.07272727272727272
2,AZ,0.6640625,0.587890625,0.115234375
3,AR,0.7106382978723405,0.5617021276595745,0.1276595744680851
4,CA,0.6640098099325568,0.5383200490496628,0.11250766400980994
5,CO,0.6388888888888888,0.5606060606060606,0.10606060606060606
6,CT,0.6920415224913494,0.5847750865051903,0.11764705882352941
7,DE,0.8028169014084507,0.5492957746478874,0.11267605633802817
8,DC,0.6666666666666666,0.6041666666666666,0.10416666666666667
9,FL,0.6692861820563196,0.5985592665356909,0.11722331368696791
10,GA,0.6564580559254327,0.521970705725699,0.12916111850865514
11,HI,0.5728155339805825,0.5728155339805825,0.07766990291262135
12,ID,0.6694915254237288,0.5677966101694916,0.0847457627118644
13,IL,0.6630218687872763,0.5536779324055666,0.10337972166998012
14,IN,0.6515748031496063,0.5669291338582677,0.12007874015748031
15,IA,0.6787330316742082,0.6380090497737556,0.14027149321266968
16,KS,0.68,0.5688888888888889,0.1111111111111111
17,KY,0.6695156695156695,0.6096866096866097,0.10826210826210826
18,LA,0.6546546546546547,0.6006006006006006,0.13213213213213212
19,ME,0.6698113207547169,0.6037735849056604,0.11320754716981132
20,MD,0.6542669584245077,0.5864332603938731,0.12035010940919037
21,MA,0.6283018867924528,0.5716981132075472,0.10377358490566038
22,MI,0.6738836265223275,0.5791610284167794,0.14884979702300405
23,MN,0.6567164179104478,0.554726368159204,0.1318407960199005
24,MS,0.7383966244725738,0.5358649789029536,0.11392405063291139
25,MO,0.6041189931350115,0.5949656750572082,0.09839816933638444
26,MT,0.6172839506172839,0.5555555555555556,0.1728395061728395
27,NE,0.5694444444444444,0.6041666666666666,0.09722222222222222
28,NV,0.6752136752136753,0.5470085470085471,0.08547008547008547
29,NH,0.5670103092783505,0.5670103092783505,0.07216494845360824
30,NJ,0.6662125340599455,0.5653950953678474,0.11989100817438691
31,NM,0.6764705882352942,0.5117647058823529,0.11764705882352941
32,NY,0.6623774509803921,0.5680147058823529,0.1090686274509804
33,NC,0.6706507304116865,0.5830013280212484,0.11553784860557768
34,ND,0.5576923076923077,0.7884615384615384,0.09615384615384616
35,OH,0.661036036036036,0.6114864864864865,0.1204954954954955
36,OK,0.6289752650176679,0.5512367491166078,0.1166077738515901
37,OR,0.6560509554140127,0.5764331210191083,0.1305732484076433
38,PA,0.6703741152679474,0.5551061678463094,0.11122345803842265
39,PR,0.7319277108433735,0.5451807228915663,0.12349397590361445
40,RI,0.5795454545454546,0.5909090909090909,0.07954545454545454
41,SC,0.6621983914209115,0.5817694369973191,0.13404825737265416
42,SD,0.631578947368421,0.5789473684210527,0.10526315789473684
43,TN,0.6876267748478702,0.5456389452332657,0.1257606490872211
44,TX,0.6631892697466468,0.5201192250372578,0.10630899155489319
45,UT,0.6137566137566137,0.5132275132275133,0.10582010582010581
46,VT,0.5918367346938775,0.6122448979591837,0.02040816326530612
47,VA,0.6481178396072013,0.5450081833060556,0.11292962356792144
48,WA,0.600375234521576,0.5459662288930581,0.12570356472795496
49,WV,0.6510067114093959,0.6510067114093959,0.10067114093959731
50,WI,0.6311111111111111,0.5644444444444444,0.12666666666666668
51,WY,0.7608695652173914,0.5217391304347826,0.043478260869565216
