,0,Overweight,Hypertension,High_Cholesterol
0,AL,0.6684210526315789,0.28421052631578947,0.12368421052631579
1,AK,0.6785714285714286,0.21428571428571427,0.14285714285714285
2,AZ,0.66796875,0.244140625,0.099609375
3,AR,0.6696428571428571,0.29464285714285715,0.08928571428571429
4,CA,0.6488408037094281,0.2482225656877898,0.11715610510046368
5,CO,0.6317073170731707,0.28292682926829266,0.1073170731707317
6,CT,0.6807017543859649,0.2736842105263158,0.10877192982456141
7,DE,0.6119402985074627,0.29850746268656714,0.14925373134328357
8,DC,0.6785714285714286,0.125,0.08928571428571429
9,FL,0.6701916721744877,0.30601454064771977,0.10839391936549901
10,GA,0.6595460614152203,0.2576769025367156,0.1054739652870494
11,HI,0.6990291262135923,0.30097087378640774,0.11650485436893204
12,ID,0.7090909090909091,0.21818181818181817,0.07272727272727272
13,IL,0.6689723320158103,0.2648221343873518,0.1324110671936759
14,IN,0.6356107660455487,0.2670807453416149,0.11387163561076605
15,IA,0.6460176991150443,0.2743362831858407,0.15486725663716813
16,KS,0.6372549019607843,0.3137254901960784,0.14705882352941177
17,KY,0.6272727272727273,0.2545454545454545,0.11818181818181818
18,LA,0.6430678466076696,0.2536873156342183,0.1415929203539823
19,ME,0.7070707070707071,0.24242424242424243,0.10101010101010101
20,MD,0.6369710467706013,0.24721603563474387,0.11358574610244988
21,MA,0.6634980988593155,0.2718631178707224,0.09315589353612168
22,MI,0.6493688639551192,0.28751753155680226,0.12622720897615708
23,MN,0.6529126213592233,0.30097087378640774,0.11165048543689321
24,MS,0.6350710900473934,0.3222748815165877,0.11848341232227488
25,MO,0.6615384615384615,0.29010989010989013,0.16043956043956045
26,MT,0.5769230769230769,0.28205128205128205,0.16666666666666666
27,NE,0.6357142857142857,0.24285714285714285,0.07142857142857142
28,NV,0.6304347826086957,0.18695652173913044,0.09130434782608696
29,NH,0.6947368421052632,0.2736842105263158,0.2
30,NJ,0.6402777777777777,0.26666666666666666,0.13333333333333333
31,NM,0.6777777777777778,0.3388888888888889,0.07777777777777778
32,NY,0.6639801611903285,0.2672039677619343,0.10539367637941724
33,NC,0.6312925170068027,0.2530612244897959,0.11020408163265306
34,ND,0.6666666666666666,0.35185185185185186,0.18518518518518517
35,OH,0.6907216494845361,0.30813287514318444,0.12256586483390607
36,OK,0.6620689655172414,0.28620689655172415,0.0896551724137931
37,OR,0.5838709677419355,0.23548387096774193,0.13870967741935483
38,PA,0.6598984771573604,0.283248730964467,0.116751269035533
39,PR,0.6828571428571428,0.28285714285714286,0.11714285714285715
40,RI,0.611764705882353,0.2235294117647059,0.21176470588235294
41,SC,0.6666666666666666,0.2644628099173554,0.1349862258953168
42,SD,0.625,0.296875,0.109375
43,TN,0.6276150627615062,0.2615062761506276,0.14435146443514643
44,TX,0.6532338308457711,0.2507462686567164,0.10895522388059702
45,UT,0.6432160804020101,0.2964824120603015,0.11055276381909548
46,VT,0.6458333333333334,0.3125,0.14583333333333334
47,VA,0.6757188498402555,0.26198083067092653,0.12619808306709265
48,WA,0.6533333333333333,0.24761904761904763,0.12571428571428572
49,WV,0.6912751677852349,0.28859060402684567,0.1610738255033557
50,WI,0.647982062780269,0.28699551569506726,0.08071748878923767
51,WY,0.7045454545454546,0.3409090909090909,0.13636363636363635
